iter	Passed	Remaining
0	18	182391
1	34	173842
2	52	175412
3	68	170388
4	79	158903
5	98	164638
6	116	166050
7	130	162534
8	145	161929
9	158	157895
10	163	148267
11	177	147796
12	194	149628
13	212	151463
14	228	152258
15	270	168682
16	283	166466
17	295	163670
18	315	165648
19	326	163118
20	347	164900
21	361	164004
22	378	163989
23	390	162468
24	405	161891
25	424	162671
26	440	162713
27	453	161438
28	468	161242
29	484	160930
30	502	161597
31	514	160304
32	526	158975
33	545	159985
34	561	160006
35	577	159848
36	590	158905
37	608	159460
38	623	159172
39	640	159448
40	655	159240
41	669	158750
42	685	158731
43	700	158442
44	711	157462
45	732	158572
46	754	159688
47	777	161289
48	791	160713
49	808	160814
50	823	160631
51	834	159703
52	854	160399
53	869	160195
54	881	159472
55	901	160041
56	916	159882
57	930	159566
58	943	159002
59	962	159441
60	979	159577
61	1008	161575
62	1020	161030
63	1032	160298
64	1043	159556
65	1069	161046
66	1087	161297
67	1116	163052
68	1136	163621
69	1163	165116
70	1175	164454
71	1193	164616
72	1209	164535
73	1226	164479
74	1243	164543
75	1254	163832
76	1265	163141
77	1300	165474
78	1320	165811
79	1349	167295
80	1358	166298
81	1378	166754
82	1388	165855
83	1403	165706
84	1415	165133
85	1440	166035
86	1456	165919
87	1469	165538
88	1482	165090
89	1494	164597
90	1508	164234
91	1532	165058
92	1548	164974
93	1580	166526
94	1595	166377
95	1610	166163
96	1625	165923
97	1641	165835
98	1656	165711
99	1671	165476
100	1692	165848
101	1699	164953
102	1713	164635
103	1735	165158
104	1750	164923
105	1762	164549
106	1781	164690
107	1795	164495
108	1813	164589
109	1827	164349
110	1840	163926
111	1852	163539
112	1865	163257
113	1880	163089
114	1905	163828
115	1919	163595
116	1933	163290
117	1949	163270
118	1961	162903
119	1974	162537
120	1987	162232
121	2011	162893
122	2026	162728
123	2042	162645
124	2059	162697
125	2075	162612
126	2090	162503
127	2103	162225
128	2115	161862
129	2134	162050
130	2150	162025
131	2161	161591
132	2181	161871
133	2196	161723
134	2211	161571
135	2226	161452
136	2239	161202
137	2251	160881
138	2264	160642
139	2277	160406
140	2291	160246
141	2317	160860
142	2336	161022
